id,area_ratio,r_min,r_max,r_mean,r_median,r_std,g_min,g_max,g_mean,g_median,g_std,b_min,b_max,b_mean,b_median,b_std,eccentricity,solidity,circularity,sym_h,sym_v,bug_type
20,0.019336625,8.0,255.0,91.697265625,88.0,55.17672729492188,0.0,255.0,68.2988052368164,61.0,47.40641021728516,0.0,255.0,60.56008529663086,49.0,45.91920471191406,0.6840399465466844,0.6336068483425263,0.1092232308247654,0.3532609045505523,0.1510705351829528,0
21,0.0160437916666666,14.0,235.0,123.0763702392578,119.0,41.17356872558594,3.0,207.0,101.78053283691406,104.0,37.925968170166016,0.0,255.0,100.20733642578124,97.0,45.57098388671875,0.8123126262214474,0.5616213977123887,0.0405424737000955,0.5002458691596985,0.5190076231956482,0
22,0.0138134166666666,9.0,255.0,146.08900451660156,162.0,68.41925048828125,0.0,255.0,105.82880401611328,111.0,59.337623596191406,0.0,255.0,103.90162658691406,99.0,66.6699447631836,0.474599169377864,0.5979801696599766,0.0496377167002852,0.202583372592926,0.2078844010829925,0
23,0.0167739166666666,4.0,255.0,116.2037124633789,119.0,46.68012619018555,0.0,255.0,98.59269714355467,103.0,47.2338752746582,0.0,255.0,81.48323822021484,77.0,45.55265426635742,0.9277680881678146,0.7021361946155618,0.0492188316317869,-0.0170593746006488,0.0593406930565834,0
24,0.0225047916666666,0.0,255.0,77.35829162597656,75.0,44.13648223876953,0.0,255.0,51.63433074951172,44.0,34.653587341308594,0.0,255.0,50.165523529052734,38.0,39.57255554199219,0.4095145286330376,0.6808432591330172,0.0769533450295733,0.3258187770843506,0.2230808287858963,0
25,0.0114814583333333,4.0,255.0,98.57263946533205,103.0,49.20952224731445,0.0,255.0,88.2312240600586,93.0,49.10744857788086,0.0,255.0,82.66384887695312,87.0,47.791236877441406,0.7696393480012511,0.4544315132764816,0.0452735248829139,0.6870333552360535,-0.0116134453564882,0
26,0.0163886666666666,3.0,255.0,102.49156951904295,110.0,66.54924774169922,2.0,255.0,84.50395202636719,87.0,56.55186462402344,0.0,255.0,89.83610534667969,86.0,64.94403839111328,0.7101129112026833,0.6270463643305685,0.0484206217461524,0.5823412537574768,-0.0166618824005126,0
27,0.0037650416666666,9.0,255.0,108.01700592041016,108.0,44.81818008422852,0.0,255.0,73.9424057006836,69.0,41.26398468017578,0.0,255.0,60.0317611694336,52.0,40.26937484741211,0.7922981002583109,0.7596106156005952,0.0695629994372897,-0.0037789505440741,0.2512626945972442,0
28,0.0075635,9.0,255.0,152.47567749023438,170.0,59.95392608642578,4.0,255.0,129.3885955810547,141.0,59.317604064941406,0.0,255.0,111.49967193603516,111.0,61.91164016723633,0.7693729270729961,0.5605377981033786,0.0364770051350226,0.3256832361221313,0.065857708454132,0
29,0.0149252083333333,0.0,255.0,95.33710479736328,93.0,57.23678970336914,0.0,255.0,78.60283660888672,72.0,54.29438781738281,0.0,255.0,68.72074127197266,58.0,50.89894104003906,0.7785285047607953,0.6722574736458855,0.0515511024408983,0.3612191677093506,0.134271964430809,0
